  INFO root [2019-05-23 02:01:09,416] - 
  INFO root [2019-05-23 02:01:09,417] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-23 02:01:09,417] - Resmgr::initialize: OURO_ROOT=C:/Users/Black/Ouroboros/
  INFO root [2019-05-23 02:01:09,418] - Resmgr::initialize: OURO_RES_PATH=C:/Users/Black/Ouroboros/ouro/res/;C:/Users/Black/Ouroboros/assets/;C:/Users/Black/Ouroboros/assets/scripts/;C:/Users/Black/Ouroboros/assets/res/
  INFO root [2019-05-23 02:01:09,418] - Resmgr::initialize: OURO_BIN_PATH=C:/Users/Black/Ouroboros/ouro/bin/server/
  INFO root [2019-05-23 02:01:09,431] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.27.1 ( 192.168.27.1:9315 )
  INFO root [2019-05-23 02:01:09,431] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.27.1:9315, SOMAXCONN=5.
  INFO root [2019-05-23 02:01:09,437] - ---- tool Version: 2.5.0. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: 0EC8DC82EC0C70B8A058CDC8E69EE611. Config: Debug X86. Built: 19:21:08 May 22 2019. AppID: 18446744073709551615. UID: 10103. PID: 33148 ----
  INFO root [2019-05-23 02:01:09,438] - Server Black: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz with 2097151kB RAM
  INFO root [2019-05-23 02:01:09,438] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-23 02:01:09,439] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-23 02:01:09,648] - Script::install(): is successfully, Python=(3.7.3 (default, May 22 2019, 19:19:00) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-23 02:01:09,648] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-05-23 02:01:10,561] - ClientSDK::writeServerErrorDescrsModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//ServerErrorDescrs.cs
 DEBUG root [2019-05-23 02:01:10,561] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/ServerErrorDescrs.cs
 DEBUG root [2019-05-23 02:01:10,570] - ClientSDK::writeEngineMessagesModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Messages.cs
 DEBUG root [2019-05-23 02:01:10,574] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/Messages.cs
 DEBUG root [2019-05-23 02:01:10,583] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/KBETypes.cs
 DEBUG root [2019-05-23 02:01:10,590] - ClientSDK::writeEntityDefsModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//EntityDef.cs
 DEBUG root [2019-05-23 02:01:10,596] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityDef.cs
 DEBUG root [2019-05-23 02:01:10,614] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/CustomDataTypes.cs
 DEBUG root [2019-05-23 02:01:10,621] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Account
 DEBUG root [2019-05-23 02:01:10,623] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/AccountBase.cs
 DEBUG root [2019-05-23 02:01:10,632] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallAccountBase.cs
 DEBUG root [2019-05-23 02:01:10,640] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Avatar
 DEBUG root [2019-05-23 02:01:10,648] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/AvatarBase.cs
 DEBUG root [2019-05-23 02:01:10,659] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallAvatarBase.cs
 DEBUG root [2019-05-23 02:01:10,661] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//FirstEntity
 DEBUG root [2019-05-23 02:01:10,662] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/FirstEntityBase.cs
 DEBUG root [2019-05-23 02:01:10,671] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallFirstEntityBase.cs
 DEBUG root [2019-05-23 02:01:10,674] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Scene
 DEBUG root [2019-05-23 02:01:10,675] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/SceneBase.cs
 DEBUG root [2019-05-23 02:01:10,685] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallSceneBase.cs
 DEBUG root [2019-05-23 02:01:10,692] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Space
 DEBUG root [2019-05-23 02:01:10,693] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/SpaceBase.cs
 DEBUG root [2019-05-23 02:01:10,696] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallSpaceBase.cs
 DEBUG root [2019-05-23 02:01:10,702] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//SpaceDuplicate
 DEBUG root [2019-05-23 02:01:10,704] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/SpaceDuplicateBase.cs
 DEBUG root [2019-05-23 02:01:10,707] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallSpaceDuplicateBase.cs
 DEBUG root [2019-05-23 02:01:10,709] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Spaces
 DEBUG root [2019-05-23 02:01:10,710] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/SpacesBase.cs
 DEBUG root [2019-05-23 02:01:10,719] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallSpacesBase.cs
 DEBUG root [2019-05-23 02:01:10,725] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//SpawnPoint
 DEBUG root [2019-05-23 02:01:10,726] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/SpawnPointBase.cs
 DEBUG root [2019-05-23 02:01:10,735] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallSpawnPointBase.cs
  INFO root [2019-05-23 02:01:10,759] - Script::uninstall(): is successfully!
 DEBUG root [2019-05-23 02:01:10,759] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-05-23 02:01:11,060] - ThreadPool::destroy(): waiting for thread(2)[0x201f218,0x201efa8,], try=1
 DEBUG root [2019-05-23 02:01:11,462] - TPThread::~TPThread(): 0x201f218
 DEBUG root [2019-05-23 02:01:11,462] - TPThread::~TPThread(): 0x201efa8
 DEBUG root [2019-05-23 02:01:11,462] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-05-23 02:01:11,474] - Bundle::destroyObjPool(): size 14.
 DEBUG root [2019-05-23 02:01:11,474] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,474] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,474] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,474] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,475] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,475] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-05-23 02:01:11,475] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-05-23 02:01:11,475] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-05-23 02:01:12,477] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-05-23 05:03:28,855] - 
  INFO root [2019-05-23 05:03:28,856] - -----------------------------------------------------------------------------------------


  INFO root [2019-05-23 05:03:28,857] - Resmgr::initialize: OURO_ROOT=C:/Users/Black/Ouroboros/
  INFO root [2019-05-23 05:03:28,857] - Resmgr::initialize: OURO_RES_PATH=C:/Users/Black/Ouroboros/ouro/res/;C:/Users/Black/Ouroboros/assets/;C:/Users/Black/Ouroboros/assets/scripts/;C:/Users/Black/Ouroboros/assets/res/
  INFO root [2019-05-23 05:03:28,857] - Resmgr::initialize: OURO_BIN_PATH=C:/Users/Black/Ouroboros/ouro/bin/server/
  INFO root [2019-05-23 05:03:28,870] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.27.1 ( 192.168.27.1:3925 )
  INFO root [2019-05-23 05:03:28,871] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.27.1:3925, SOMAXCONN=5.
  INFO root [2019-05-23 05:03:28,887] - ---- tool Version: 2.5.0. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: 22B356D1B7966F21C954CEC7C7F4EFBF. Config: Debug X86. Built: 02:53:01 May 23 2019. AppID: 18446744073709551615. UID: 10103. PID: 54616 ----
  INFO root [2019-05-23 05:03:28,888] - Server Black: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz with 2097151kB RAM
  INFO root [2019-05-23 05:03:28,888] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-05-23 05:03:28,889] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-05-23 05:03:29,787] - Script::install(): is successfully, Python=(3.7.3 (default, May 23 2019, 03:58:29) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-05-23 05:03:29,788] - Script::install(): OUROxtra is successfully!
 DEBUG root [2019-05-23 05:03:31,963] - ClientSDK::writeServerErrorDescrsModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//ServerErrorDescrs.cs
 DEBUG root [2019-05-23 05:03:31,964] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/ServerErrorDescrs.cs
 DEBUG root [2019-05-23 05:03:31,973] - ClientSDK::writeEngineMessagesModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Messages.cs
 DEBUG root [2019-05-23 05:03:31,983] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/Messages.cs
 DEBUG root [2019-05-23 05:03:31,993] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/OUROTypes.cs
 DEBUG root [2019-05-23 05:03:31,999] - ClientSDK::writeEntityDefsModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//EntityDef.cs
 DEBUG root [2019-05-23 05:03:32,008] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityDef.cs
 DEBUG root [2019-05-23 05:03:32,029] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/CustomDataTypes.cs
 DEBUG root [2019-05-23 05:03:32,038] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Account
 DEBUG root [2019-05-23 05:03:32,040] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/AccountBase.cs
 DEBUG root [2019-05-23 05:03:32,048] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallAccountBase.cs
 DEBUG root [2019-05-23 05:03:32,056] - ClientSDK::writeEntityModule(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros//Avatar
 DEBUG root [2019-05-23 05:03:32,062] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/AvatarBase.cs
 DEBUG root [2019-05-23 05:03:32,074] - ClientSDK::saveFile(): C:\Users\Black\Unity\Ouroboros\Assets\Plugins\Ouroboros/EntityCallAvatarBase.cs
